Name,Country,State/Province
unknown,I'm sorry,but I cannot provide information about a company named 'unknown' as it does not have a specific location without further context.
Bristol-Myers Squibb,United States,New Jersey
US Army Medical Research Institute of Infectious Diseases,United States,Maryland
"National Heart, Lung, and Blood Institute (NHLBI)|Amgen",United States,Maryland
"National Heart, Lung, and Blood Institute (NHLBI)",United States,Maryland
Society of Family Planning|Bill and Melinda Gates Foundation|Rakai Health Sciences Program,United States,Washington
Children's Hospital of Fudan University|Tongji Hospital|Children's Hospital of Nanjing Medical University|Jiangxi Province Children's Hospital|Chengdu Women's and Children's Central Hospital|Shandong Provincial Hospital|Shengjing Hospital|Shanghai Children's Hospital|Children's Hospital of The Capital Institute of Pediatrics|West China Second University Hospital,China,Shanghai
"Genentech, Inc.",USA,California
Johns Hopkins University,United States,Maryland
University of Genova,Italy,Liguria
Novartis,Switzerland,Basel-Stadt
Swedish Cancer Institute,United States,Washington
Sponsor GmbH,Germany,Bavaria
"National Institute on Alcohol Abuse and Alcoholism (NIAAA)|The Cleveland Clinic|University of Massachusetts, Worcester|University of Louisville",United States,Maryland
Exacte Labs LLC|Federal State Budgetary Educational Institution for Higher Education FSPbSMU n. a. I.P. Pavlov of the Ministry of Health of the Russian Federation|Scientific Center EFiS LLC|Data Management 365,Russia,Saint Petersburg
"University of Managemant and Technology, Pakistan|Mayo Hospital Lahore",Pakistan,Punjab
University Hospital Fattouma Bourguiba,Tunisia,Monastir
National Natural Science Foundation of China|Nanjing Medical University,China,Jiangsu
National Institutes of Health Clinical Center (CC),United States,Maryland
Huashan Hospital|Hainan General Hospital|Linyi People's Hospital|The Second Affiliated Hospital of Chongqing Medical University|Changhai Hospital|The First Affiliated Hospital with Nanjing Medical University|Shengjing Hospital|Affiliated Hospital of Nantong University,China,Various Provinces
Massachusetts General Hospital|Boston Children's Hospital|NCIC Clinical Trials Group,United States,Massachusetts
Incyte Corporation|Amgen|Servier,United States,Delaware
"The Methodist Hospital Research Institute|Center for Cell and Gene Therapy, Baylor College of Medicine",United States,Texas
"BioLineRx, Ltd.",Israel,Tel Aviv
"Bayer|Genzyme, a Sanofi Company|Amgen|National Cancer Institute (NCI)|Georgia Institute of Technology",United States,Georgia
Bayer,Germany,North Rhine-Westphalia
Regeneron Pharmaceuticals|Baim Institute for Clinical Research,United States,New York
"ADIR, a Servier Group company",France,Île-de-France
Leukaemia & Lymphoma Research Group|Experimental Cancer Medicine Centres,United Kingdom,England
EpiCept Corporation,United States,New Jersey
Huai'an First People's Hospital|Yancheng First People's Hospital,China,Jiangsu
Ruijin Hospital|Wuhan TongJi Hospital|Anhui Provincial Hospital,China,Hubei
Princess Maxima Center for Pediatric Oncology (European Sponsor)|AbbVie|Roche-Genentech|EuPAL,Netherlands,Utrecht
Roche-Genentech,United States,California
